name,id,Cmp,Att,Yds,TD,Int,Sk,Fmb,team_win,start_win,Cmp.,Y.A,TD_pct,Int_pct,win_count
David Garrard,GarrDa00,13.625,24.375,134.0,0.875,0.25,1.25,0.0,0.375,0.25,0.558974358974359,5.4974358974358974,0.035897435897435895,0.010256410256410256,41
David Klingler,KlinDa00,13.875,25.875,147.5,0.625,0.75,3.875,0.0,0.125,0.125,0.5362318840579711,5.700483091787439,0.024154589371980676,0.028985507246376812,4
DeShone Kizer,KizeDe00,16.5,31.25,172.0,0.5,1.5,2.0,0.375,0.0,0.0,0.528,5.504,0.016,0.048,0
Dennis Shaw,ShawDe00,12.625,22.25,207.375,1.0,1.5,0.0,0.0,0.375,0.375,0.5674157303370787,9.320224719101123,0.0449438202247191,0.06741573033707865,7
Dick Shiner,ShinDi00,8.125,18.625,120.375,0.875,1.0,0.0,0.0,0.125,0.125,0.436241610738255,6.4630872483221475,0.04697986577181208,0.053691275167785234,6
Dieter Brock,BrocDi00,16.125,26.625,189.25,0.875,1.25,3.5,0.0,0.875,0.875,0.6056338028169014,7.107981220657277,0.03286384976525822,0.046948356807511735,12
Don Heinrich,HeinDo00,5.75,14.625,94.5,0.75,0.5,0.0,0.0,0.625,0.625,0.39316239316239315,6.461538461538462,0.05128205128205128,0.03418803418803419,6
Don Horn,HornDo00,9.875,19.375,155.75,0.875,1.125,0.0,0.0,0.375,0.25,0.5096774193548387,8.038709677419355,0.04516129032258064,0.05806451612903226,7
Don Majkowski,MajkDo00,10.25,20.625,146.875,0.75,0.375,1.625,0.0,0.375,0.375,0.49696969696969695,7.121212121212121,0.03636363636363636,0.01818181818181818,26
Don Meredith,MereDo00,9.5,20.0,109.0,1.0,1.375,0.0,0.0,0.375,0.25,0.475,5.45,0.05,0.06875,48
Don Strock,StroDo00,9.5,18.625,122.375,1.25,1.0,0.0,0.0,0.5,0.5,0.5100671140939598,6.570469798657718,0.06711409395973154,0.053691275167785234,16
Don Trull,TrulDo00,6.625,16.0,93.625,0.875,0.5,0.0,0.0,0.125,0.0,0.4140625,5.8515625,0.0546875,0.03125,6
Donovan McNabb,McNaDo00,10.875,21.875,91.375,0.625,0.625,2.625,0.0,0.125,0.125,0.49714285714285716,4.177142857142857,0.02857142857142857,0.02857142857142857,106
Doug Flutie,FlutDo00,10.75,20.0,145.5,1.125,0.75,1.625,0.0,0.75,0.5,0.5375,7.275,0.05625,0.0375,40
Doug Johnson,JohnDo00,14.875,25.625,174.625,0.875,1.5,2.75,0.0,0.25,0.25,0.5804878048780487,6.814634146341463,0.03414634146341464,0.05853658536585366,2
